entidade,nome_coluna,tipo_primitivo,tipo_estatistico,papel_analitico,formula_calculo,unidade_medida,intervalo_teorico,descricao,dominio_exemplo,permite_nulo
COLETA_DATA,umidade_relativa_pct,FLOAT,Numerica Continua,Feature Preditiva Continua,Higrometria de estacao agroclimatica,Percentual (%),"[0.0, 100.0]",Umidade relativa do ar no instante da amostragem foliar,65.2,Sim
COLETA_DATA,responsavel_coleta,VARCHAR(128),Categorica Nominal,Metadado Tecnico,Cadastro de operador,Texto,Operadores autorizados,Nome do tecnico avaliador ou agronomo responsavel pela operacao de captura,Joao Silva | Equipe Campo 02,Sim
ABT,sample_id,VARCHAR(64),Identificador,Identificador,UUID v4 ou SMP_{id},Adimensional (Hash/ID),String unica global,Identificador unico primario da instancia de registro na Tabela Analitica Base,SMP_00001,Nao
ABT,filepath,VARCHAR(255),Texto / URI,Metadado Tecnico,os.path.abspath(raw_file),Path do SO,Caminho valido em disco,Localizacao fisica absoluta do arquivo de imagem no sistema de arquivos,C:/Sanidade-Vegetal/data/raw/roboflow/train/img01.jpg,Nao
ABT,filename,VARCHAR(128),Texto,Metadado Tecnico,os.path.basename(filepath),String (Nome),Nomes validos com extensao,Nome do arquivo fotografico original com extensao,img_00291.jpg,Nao
ABT,relative_path,VARCHAR(255),Texto / URI,Metadado Tecnico,"os.path.relpath(filepath, repo_root)",Caminho relativo,URI relativa no repositorio,Caminho relativo padronizado para execucao e consumo em pipelines reprodutiveis,data/raw/roboflow/train/img01.jpg,Nao
ABT,dataset_source,VARCHAR(32),Categorica Nominal,Metadado Tecnico,Rastreamento de origem de dados,Categoria benchmark,Roboflow | Mendeley_Data | Coleta_Propria,Identificacao da base publica ou privada de onde a amostra fotografica se originou,Roboflow | Mendeley_Data,Nao
ABT,split_partition,VARCHAR(16),Categorica Nominal,Metadado Tecnico,Particionamento estratificado agronomico,Categoria de particao,train | valid | test,Particao de modelagem destinada a treino balanceado validacao ou teste cego,train | valid | test,Nao
ABT,extension,VARCHAR(8),Categorica Nominal,Metadado Tecnico,os.path.splitext(filename)[1].lower(),Extensao grafica,jpg | jpeg | png,Formato de compressao e encapsulamento dos dados binarios da imagem,jpg | png,Nao
ABT,width,INTEGER,Numerica Discreta,Feature Preditiva Discreta,image.shape[1] via Pillow/OpenCV,Pixels (px),"[1, 8000]",Largura horizontal da imagem original em pixels,640 | 1920 | 4000,Nao
ABT,height,INTEGER,Numerica Discreta,Feature Preditiva Discreta,image.shape[0] via Pillow/OpenCV,Pixels (px),"[1, 8000]",Altura vertical da imagem original em pixels,640 | 1080 | 3000,Nao
ABT,channels,INTEGER,Numerica Discreta,Metadado Tecnico,image.shape[2] via Pillow/OpenCV,Canais de cor,"[1, 4]",Numero de canais espectrais registrados no arquivo grafico (RGB = 3 canais),3,Nao
ABT,color_mode,VARCHAR(8),Categorica Nominal,Metadado Tecnico,image.mode via Pillow,Espaco de cor,RGB | RGBA | L,Esquema nativo de codificacao cromatica da matriz de entrada,RGB,Nao
ABT,size_kb,FLOAT,Numerica Continua,Feature Preditiva Continua,os.path.getsize(filepath) / 1024.0,Kilobytes (KB),"> 0.0; [0.1, 50000.0]",Peso fisico do arquivo compactado em disco para deteccao de artefatos de compressao,4675.73,Nao
ABT,class_label,VARCHAR(32),Categorica Nominal,Target,Laudo visual emitido por especialista fitopatologista,Categoria de patologia,HEALTHY | RUST | RED_ROT | MOSAIC | YELLOW_LEAF | LEAF_SCALD | SMUT,Rotulo textual canonico padronizado em caixa alta da fitopatologia diagnosticada,HEALTHY | RUST,Nao
ABT,target_binary,INTEGER,Binaria / Discreta,Target,1 se class_label != HEALTHY senao 0,"Binario {0, 1}","{0, 1}",Variavel alvo binaria para classificacao rapida de anomalia (0: Sadia / 1: Doente),0 | 1,Nao
ABT,target_multiclass,INTEGER,Categorica Discreta,Target,Categorical codes ordenados de class_label,Discreto codificado,"[0, 6]",Rotulo numerico atribuido para calculo de funcoes de perda Cross-Entropy,0 a 6,Nao
ABT,target_grau_severidade_pct,FLOAT,Numerica Continua,Target,(Area_Lesionada / Area_Total_Folha) * 100.0,Percentual (%),"[0.0, 100.0]",Variavel alvo secundaria contínua de severidade para modelos de regressao foliar,0.0 | 25.4 | 60.0,Sim
ABT,confianca_anotacao,FLOAT,Numerica Continua,Metadado Tecnico,Indice de concordancia entre fitopatologistas,"Probabilidade [0, 1]","[0.0, 1.0]",Grau de certeza e concordancia da rotulagem atribuida a lesao,0.95 | 1.0,Sim
ABT,tem_sintoma_visivel,BOOLEAN,Binaria,Metadado Tecnico,Inspecao visual de presenca de lesao macroscopica,"Booleano {True, False}","{True, False}",Flag booleana indicando se o sintoma patologico e visivel a olho nu,True | False,Nao
ABT,mean_hue,FLOAT,Numerica Continua,Feature Preditiva Continua,Media(H) no espaco HSV via cv2.cvtColor,Graus angulares (deg),"[0.0, 180.0]",Matiz medio no espaco HSV discriminando verde sadio de clorose e necrose,75.2 (Sadia) | 22.4 (Ferrugem),Nao
ABT,std_saturation,FLOAT,Numerica Continua,Feature Preditiva Continua,DesvioPadrao(S) no espaco HSV,"Adimensional [0, 1]","[0.0, 1.0]",Desvio padrao da saturacao medindo contraste pontual entre lesao e lâmina sadia,0.118 (Sadia) | 0.285 (Ferrugem),Nao
ABT,exg_index,FLOAT,Numerica Continua,Feature Preditiva Continua,2*G - R - B no espaco RGB,Nivel de intensidade de cinza,"[-510.0, 510.0]",Indice de Excesso de Verde medindo densidade de clorofila ativa no parênquima foliar,+42.1 (Sadia) | +8.3 (Ferrugem),Nao
ABT,exr_index,FLOAT,Numerica Continua,Feature Preditiva Continua,1.4*R - G no espaco RGB,Nivel de intensidade de cinza,"[-255.0, 357.0]",Indice de Excesso de Vermelho capturando pigmentos oxidados e esporulacao fungica,-15.2 (Sadia) | +25.4 (Ferrugem),Nao
ABT,laplacian_var,FLOAT,Numerica Continua,Feature Preditiva Continua,"Variancia(cv2.Laplacian(cinza, CV_64F))",Adimensional (Variancia),"[0.0, 10000.0]",Variancia do operador Laplaciano indicando foco nitidez e textura de alta frequencia,142.85,Nao
ABT,rg_ratio,FLOAT,Numerica Continua,Feature Preditiva Continua,R / (G + 1e-4) aproximado por 1.0 + (ExR - ExG)/100,Adimensional (Razao),"[0.0, +inf[ (pratico: [0.2, 4.0])",Razao espectral entre bandas vermelha e verde quantificando clorose e amarelecimento,0.75 (Sadia) | 1.85 (Ferrugem),Nao
ABT,indice_clorose_necrose,FLOAT,Numerica Continua,Feature Preditiva Continua,rg_ratio / (std_saturation + 1e-4),Adimensional,"[0.0, +inf[",Indice Composto ICN integrando amarelecimento espectral com heterogeneidade de cor,6.2 (Sadia) | 65.4 (Ferrugem),Nao
ABT,hue_dispersion,FLOAT,Numerica Continua,Feature Preditiva Continua,mean_hue * std_saturation,Graus x Saturacao,"[0.0, 180.0]",Dispersao de matiz foliar capturando interacao entre comprimento de onda e pureza,8.9 (Sadia) | 6.4 (Ferrugem),Nao
ABT,glcm_contrast,FLOAT,Numerica Continua,Feature Preditiva Continua,"Soma_ij (|i - j|^2 * p(i, j)) direcionais em {0, 45, 90, 135 deg}",Adimensional (Intensidade^2),"[0.0, 65025.0] (pratico: [5.0, 120.0])",Contraste de Haralick medindo diferenca de intensidade entre pixels vizinhos da folha,12.5 (Sadia) | 38.2 (Ferrugem),Nao
ABT,glcm_dissimilarity,FLOAT,Numerica Continua,Feature Preditiva Continua,"Soma_ij (|i - j| * p(i, j)) ou sqrt(contrast) * (1.1 - homo)",Adimensional (Intensidade),"[0.0, 255.0] (pratico: [0.5, 30.0])",Dissimilaridade de Haralick quantificando descontinuidade linear da cuticula,1.82 (Sadia) | 6.45 (Ferrugem),Nao
ABT,glcm_homogeneity,FLOAT,Numerica Continua,Feature Preditiva Continua,"Soma_ij (p(i, j) / (1 + |i - j|^2))","Adimensional [0, 1]","[0.0, 1.0]",Homogeneidade de Haralick medindo uniformidade e regularidade da superficie foliar,0.88 (Sadia) | 0.55 (Ferrugem),Nao
ABT,glcm_energy,FLOAT,Numerica Continua,Feature Preditiva Continua,"Raiz_Quadrada(Soma_ij p(i, j)^2)","Adimensional [0, 1]","[0.0, 1.0]",Energia de Haralick / Segundo Momento Angular ASM medindo repeticao de textura,0.88 (Sadia) | 0.55 (Ferrugem),Nao
ABT,indice_rugosidade_pustula,FLOAT,Numerica Continua,Feature Preditiva Continua,(glcm_contrast * glcm_dissimilarity) / (glcm_homogeneity + 1e-3),Adimensional,"[0.0, +inf[ (pratico: [10.0, 2000.0])",Indice Composto IRFP combinando contraste e dissimilaridade para separar pustulas,25.8 (Sadia) | 447.2 (Ferrugem),Nao
ABT,lesion_bbox_count,INTEGER,Numerica Discreta,Feature Preditiva Discreta,Contagem de caixas delimitadoras anotadas/inferidas,Focos de infeccao,"[0, 500]",Quantidade de focos de infecção ou manchas detectadas por visao computacional,0 | 5 | 23,Sim
ABT,embedding_vector,ARRAY[FLOAT],Vetor / Tensor,Feature Preditiva Continua,Extracao densa de backbone convolucional ou ViT,Espaco latente (512d/1024d),"[-inf, +inf]",Vetor denso de representacao profunda latente de caracteristicas visuais,"[-0.12, 0.44, ...]",Sim
